Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,totalLivingArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
ClearCr,4,1959,1959,TA,CBlock,NA,0,1120,1588,1588,2,TA,7,Gd,Detchd,1991,Fin,2,680,124500-146800
NAmes,5,1957,1996,TA,CBlock,TA,1070,1236,1236,2306,1,Gd,6,Fa,Attchd,1957,Unf,1,447,124500-146800
NAmes,5,1953,2006,TA,CBlock,TA,1008,1008,1008,2016,1,Gd,6,NA,Attchd,1953,Unf,1,240,124500-146800
NAmes,5,1962,1962,TA,CBlock,TA,925,999,999,1924,1,TA,6,NA,Attchd,1962,Unf,1,300,124500-146800
NAmes,5,1951,2000,TA,CBlock,TA,900,900,900,1800,1,Gd,5,NA,Detchd,2005,Unf,2,576,124500-146800
Sawyer,5,1982,1982,TA,CBlock,Gd,858,858,858,1716,1,TA,5,NA,Detchd,1983,Unf,2,576,124500-146800
BrkSide,6,1937,2000,Gd,BrkTil,TA,698,786,1176,1874,1,TA,4,NA,Detchd,1999,Unf,2,624,124500-146800
OldTown,5,1916,1987,TA,CBlock,Fa,660,808,1656,2316,2,TA,8,NA,Detchd,1916,Unf,1,180,124500-146800
OldTown,7,1946,1992,TA,CBlock,TA,651,707,1389,2040,1,TA,6,Gd,Detchd,1947,Unf,1,240,124500-146800
Sawyer,5,1977,1977,TA,CBlock,TA,980,980,980,1960,1,TA,6,NA,Detchd,1986,Unf,2,484,124500-146800
NAmes,5,1969,1969,TA,PConc,Gd,1040,1040,2080,3120,1,Fa,9,TA,Attchd,1969,Unf,2,504,124500-146800
IDOTRR,6,1906,1995,TA,CBlock,TA,756,756,1469,2225,1,TA,7,NA,Detchd,1906,Unf,1,216,124500-146800
Edwards,4,1954,1972,TA,PConc,TA,941,997,1470,2411,2,TA,7,NA,Detchd,1958,Unf,1,548,124500-146800
Mitchel,6,1977,1977,TA,CBlock,Gd,975,1004,1004,1979,1,TA,4,NA,Attchd,1977,Unf,2,504,124500-146800
Sawyer,5,1961,1994,TA,CBlock,TA,912,1236,1236,2148,1,TA,6,TA,Attchd,1961,Unf,1,288,124500-146800
Edwards,4,1956,1956,TA,CBlock,TA,1134,1229,1229,2363,1,TA,6,NA,Attchd,1956,RFn,1,284,124500-146800
NAmes,5,1955,1955,TA,CBlock,TA,1098,1098,1098,2196,1,TA,6,NA,Attchd,1955,Unf,1,260,124500-146800
NAmes,4,1949,1950,TA,CBlock,TA,720,720,1192,1912,1,TA,6,NA,NA,?,NA,0,0,124500-146800
Sawyer,5,1948,1950,TA,CBlock,TA,720,720,1271,1991,2,TA,7,Gd,Attchd,1948,Unf,1,312,124500-146800
NAmes,5,1949,2003,TA,CBlock,TA,845,893,893,1738,1,Gd,4,NA,Detchd,1985,Unf,2,576,124500-146800
NAmes,5,1956,1956,TA,CBlock,TA,1048,1048,1048,2096,1,TA,6,NA,Attchd,1956,Unf,1,286,124500-146800
NAmes,5,1960,2002,TA,CBlock,TA,1010,1134,1134,2144,1,TA,6,NA,Attchd,1960,RFn,1,254,124500-146800
SWISU,4,1928,1950,TA,BrkTil,TA,1122,1328,1981,3103,2,Gd,7,TA,Detchd,1981,Unf,2,576,124500-146800
NWAmes,5,1973,1973,TA,CBlock,TA,1656,1656,1656,3312,2,TA,8,NA,Detchd,1973,Unf,2,506,124500-146800
NAmes,5,1967,1967,TA,PConc,TA,980,980,980,1960,2,TA,6,NA,Attchd,1967,Fin,1,384,124500-146800
Edwards,5,1955,1955,TA,PConc,TA,816,872,1393,2209,1,TA,8,NA,Attchd,1955,Unf,1,300,124500-146800
NAmes,4,1956,1956,TA,CBlock,TA,952,952,952,1904,1,TA,4,NA,Detchd,1956,Unf,1,283,124500-146800
SWISU,5,1912,2000,TA,PConc,TA,780,936,1716,2496,2,Fa,9,NA,NA,?,NA,0,0,124500-146800
NAmes,5,1979,1979,TA,CBlock,Gd,943,943,943,1886,1,TA,4,TA,Detchd,1979,Unf,2,600,124500-146800
NAmes,6,1958,1958,TA,CBlock,TA,1080,1080,1080,2160,1,TA,5,NA,Attchd,1958,Unf,1,288,124500-146800
OldTown,6,1916,1950,TA,BrkTil,TA,714,1664,2526,3240,2,Gd,10,Gd,Detchd,1916,Unf,1,216,124500-146800
NAmes,5,1974,1974,TA,CBlock,Gd,896,896,1792,2688,2,TA,8,NA,NA,?,NA,0,0,124500-146800
Sawyer,4,1968,1968,TA,CBlock,TA,1768,1768,1768,3536,2,TA,8,NA,NA,?,NA,0,0,124500-146800
CollgCr,5,1978,2005,Gd,CBlock,TA,864,864,864,1728,1,TA,6,NA,Attchd,1978,Unf,1,336,124500-146800
NAmes,5,1961,1961,TA,CBlock,TA,1050,1050,1050,2100,1,TA,6,NA,Attchd,1961,Unf,1,368,124500-146800
SWISU,6,1925,1950,TA,PConc,TA,1181,1390,1694,2875,2,TA,7,Gd,Detchd,1925,Unf,2,576,124500-146800
CollgCr,6,2003,2003,Gd,PConc,Gd,848,848,848,1696,1,Gd,3,NA,Attchd,2003,Fin,2,420,124500-146800
Edwards,6,1954,1972,TA,CBlock,TA,994,1216,1855,2849,2,TA,7,NA,Attchd,1954,Unf,1,325,124500-146800
NWAmes,5,1976,1976,TA,CBlock,TA,1680,1680,1680,3360,2,TA,8,NA,Detchd,1976,Unf,2,528,124500-146800
OldTown,6,1910,1950,TA,Stone,Fa,1020,908,1928,2948,2,Fa,9,NA,Detchd,1910,Unf,1,440,124500-146800
Sawyer,5,1982,1982,TA,CBlock,TA,840,860,860,1700,1,TA,4,NA,Detchd,1996,Unf,2,528,124500-146800
NAmes,5,1954,1954,TA,CBlock,TA,1008,1008,1008,2016,1,TA,4,Gd,Attchd,1954,RFn,1,275,124500-146800
Sawyer,5,1965,1965,TA,CBlock,TA,935,935,935,1870,1,TA,5,NA,Attchd,1965,Unf,1,288,124500-146800
NAmes,5,1948,1950,TA,CBlock,TA,928,928,1920,2848,2,TA,10,NA,Detchd,1948,Unf,2,400,124500-146800
SWISU,6,1925,1990,TA,BrkTil,TA,976,1160,1608,2584,2,Gd,7,Gd,Detchd,1925,Unf,1,216,124500-146800
NAmes,6,1963,1963,TA,PConc,TA,936,1054,1054,1990,1,Gd,6,NA,Attchd,1963,RFn,2,480,124500-146800
Edwards,4,1972,1972,TA,CBlock,Gd,1138,1181,1181,2319,2,TA,6,NA,Detchd,1974,RFn,2,588,124500-146800
Crawfor,4,1922,1950,TA,BrkTil,Fa,700,1180,1180,1880,1,Fa,5,Gd,Detchd,1922,Unf,1,252,124500-146800
Timber,6,1958,1958,TA,CBlock,TA,819,1344,1344,2163,1,Gd,7,Gd,Basment,1958,RFn,2,525,124500-146800
Edwards,7,2004,2004,Gd,PConc,Gd,970,970,1709,2679,2,Gd,7,NA,Detchd,2004,Unf,2,380,124500-146800
BrkSide,5,1920,2004,TA,BrkTil,TA,939,939,1513,2452,1,TA,8,NA,Detchd,1933,Unf,1,180,124500-146800
NAmes,5,1951,1951,TA,CBlock,TA,2136,2136,2136,4272,2,TA,7,NA,Detchd,1951,Unf,2,528,124500-146800
Mitchel,5,1982,2003,TA,PConc,TA,816,816,816,1632,1,TA,4,NA,Detchd,1985,Fin,2,816,124500-146800
CollgCr,5,1994,1995,TA,PConc,Gd,990,990,990,1980,1,TA,5,NA,Detchd,2000,Unf,2,480,124500-146800
NAmes,5,1950,1982,TA,CBlock,TA,1208,1136,1904,3112,1,TA,7,NA,Attchd,1950,Unf,1,240,124500-146800
Sawyer,5,1965,2009,TA,CBlock,TA,894,894,894,1788,1,TA,5,Gd,Detchd,1973,Unf,1,336,124500-146800
NAmes,5,1968,1968,TA,CBlock,TA,1052,1052,1052,2104,1,TA,5,NA,Attchd,1968,RFn,1,288,124500-146800
NAmes,5,1969,1969,TA,CBlock,TA,1096,1096,1096,2192,1,TA,6,NA,Attchd,1969,Fin,1,299,124500-146800
Crawfor,5,1914,1950,TA,BrkTil,Gd,747,892,1784,2531,1,TA,9,NA,Detchd,1914,Unf,1,180,124500-146800
NAmes,5,1958,1965,TA,CBlock,TA,1029,1339,1339,2368,1,TA,6,NA,Attchd,1958,Unf,1,294,124500-146800
Sawyer,5,1962,1962,TA,CBlock,TA,1092,1092,1092,2184,1,TA,6,Po,Attchd,1962,Unf,1,288,124500-146800
NAmes,6,1958,1988,TA,CBlock,TA,1240,1632,1632,2872,2,TA,6,Gd,Attchd,1958,RFn,1,338,124500-146800
NAmes,5,1958,1992,TA,CBlock,TA,1056,1056,1056,2112,1,TA,6,NA,Attchd,1958,RFn,1,308,124500-146800
NAmes,6,1956,1956,TA,CBlock,Gd,1196,1196,1196,2392,1,TA,6,Gd,Attchd,1956,RFn,1,297,124500-146800
NAmes,5,1971,2005,TA,CBlock,TA,372,576,1109,1481,1,TA,5,NA,BuiltIn,1971,Unf,1,288,124500-146800
OldTown,5,1915,1950,TA,PConc,Fa,686,966,1652,2338,2,TA,7,NA,Detchd,1961,Unf,1,416,124500-146800
Sawyer,5,1963,1963,TA,PConc,TA,1121,1121,1121,2242,1,TA,5,NA,Detchd,1963,Unf,2,480,124500-146800
NAmes,5,1951,1951,TA,CBlock,TA,952,952,952,1904,1,TA,4,NA,Detchd,1988,Unf,2,840,124500-146800
Crawfor,5,1910,2003,TA,PConc,TA,661,661,1250,1911,2,TA,8,Gd,Detchd,1985,Unf,2,552,124500-146800
Mitchel,6,1971,1971,TA,CBlock,TA,912,912,1824,2736,2,TA,8,NA,NA,?,NA,0,0,124500-146800
IDOTRR,7,1930,1950,TA,PConc,TA,637,1108,1108,1745,1,Gd,6,Gd,Attchd,1930,Unf,1,280,124500-146800
NAmes,5,1954,2005,TA,CBlock,TA,1056,1056,1056,2112,1,TA,6,NA,Attchd,1954,Unf,1,260,124500-146800
SWISU,6,1940,1950,TA,BrkTil,TA,778,944,1489,2267,2,TA,7,Gd,Detchd,1940,Unf,1,240,124500-146800
Edwards,3,1955,1955,TA,Slab,NA,0,1733,1733,1733,2,TA,8,Gd,Attchd,1955,Unf,2,452,124500-146800
NAmes,5,1960,1978,TA,CBlock,TA,978,1422,1422,2400,1,TA,6,TA,Attchd,1960,RFn,1,286,124500-146800
NAmes,5,1961,1961,TA,CBlock,TA,1144,1144,1144,2288,1,TA,6,NA,Attchd,1961,Unf,2,456,124500-146800
Crawfor,7,1915,1970,TA,BrkTil,TA,756,961,1717,2473,1,Gd,7,Gd,Detchd,1998,Unf,3,642,124500-146800
OldTown,7,1921,1950,TA,BrkTil,TA,576,902,1710,2286,2,TA,9,NA,Detchd,1990,Unf,2,480,124500-146800
Edwards,4,2003,2004,TA,PConc,Gd,1121,1121,1121,2242,2,TA,5,NA,Attchd,2003,RFn,2,440,124500-146800
NAmes,6,1954,1954,TA,CBlock,TA,1367,1375,1375,2742,1,TA,5,TA,Attchd,1954,Unf,2,451,124500-146800
SWISU,6,1940,2000,TA,CBlock,TA,940,1192,1595,2535,1,TA,6,Gd,Attchd,1940,Unf,1,240,124500-146800
Edwards,5,1965,1965,TA,CBlock,TA,1214,1214,1214,2428,1,TA,6,NA,Detchd,1965,Unf,2,461,124500-146800
NPkVill,6,1977,1977,TA,CBlock,Gd,1069,1069,1069,2138,2,TA,4,NA,Attchd,1977,RFn,2,440,124500-146800
CollgCr,6,2003,2003,Gd,PConc,Gd,848,848,848,1696,1,Gd,4,NA,Attchd,2003,Fin,2,420,124500-146800
NAmes,6,1965,1965,TA,CBlock,TA,1136,1136,1136,2272,1,TA,5,Gd,Attchd,1965,RFn,1,384,124500-146800
NWAmes,7,1969,1969,TA,CBlock,TA,1164,1164,1164,2328,1,TA,6,NA,Attchd,1969,Unf,2,528,124500-146800
OldTown,5,1900,1996,TA,BrkTil,Gd,360,1032,1812,2172,2,Gd,8,Po,Detchd,1999,Unf,2,672,124500-146800
SWISU,6,1925,1950,TA,BrkTil,TA,672,810,1482,2154,2,Fa,7,NA,Detchd,1934,Unf,1,400,124500-146800
NAmes,6,1963,1963,TA,CBlock,TA,780,983,1796,2576,1,TA,8,TA,Attchd,1963,RFn,2,483,124500-146800
NAmes,6,1958,1958,TA,CBlock,TA,588,1095,1095,1683,1,TA,6,NA,Attchd,1958,RFn,1,264,124500-146800
Sawyer,5,1958,1987,TA,CBlock,TA,533,1021,1601,2134,1,TA,6,NA,BuiltIn,1958,RFn,1,300,124500-146800
OldTown,5,1980,1980,TA,CBlock,Gd,936,936,936,1872,1,TA,4,NA,Detchd,1980,Unf,2,672,124500-146800
NAmes,5,1962,1980,TA,CBlock,TA,931,1283,1283,2214,1,TA,6,NA,Detchd,1980,Unf,2,506,124500-146800
Edwards,6,2005,2006,TA,PConc,Gd,547,1072,1072,1619,2,TA,5,NA,Basment,2005,Fin,2,525,124500-146800
NAmes,6,1950,2005,TA,CBlock,TA,856,1112,1668,2524,1,TA,6,NA,Attchd,1950,Unf,1,271,124500-146800
NAmes,5,1945,1950,TA,CBlock,TA,913,1048,1558,2471,1,TA,6,TA,Attchd,1962,Unf,1,288,124500-146800
BrkSide,6,1939,1950,TA,BrkTil,TA,972,972,1577,2549,1,Fa,6,Gd,Detchd,1939,Unf,1,312,124500-146800
NAmes,5,1959,1959,TA,CBlock,TA,1150,1150,1150,2300,1,TA,6,NA,Attchd,1959,RFn,1,300,124500-146800
SawyerW,7,2004,2005,TA,PConc,Gd,1080,1080,1080,2160,1,Gd,6,NA,NA,?,NA,0,0,124500-146800
NAmes,4,1960,1960,TA,PConc,TA,1100,1100,1100,2200,1,TA,6,Po,Attchd,1960,RFn,1,312,124500-146800
Gilbert,4,1951,1951,TA,CBlock,TA,864,864,864,1728,1,TA,4,NA,Detchd,1951,Unf,2,400,124500-146800
NAmes,5,1957,1957,TA,CBlock,TA,1092,1092,1092,2184,1,TA,6,TA,Attchd,1957,Fin,1,299,124500-146800
IDOTRR,6,1937,1950,TA,PConc,TA,780,780,1375,2155,1,Gd,6,Gd,Detchd,1979,Unf,1,544,124500-146800
CollgCr,6,2004,2004,Gd,PConc,Gd,848,848,848,1696,1,Gd,3,TA,Attchd,2004,RFn,2,420,124500-146800
NAmes,5,1961,1961,TA,CBlock,TA,1800,1800,1800,3600,2,TA,10,NA,NA,?,NA,0,0,124500-146800
BrkSide,5,1936,1950,TA,BrkTil,TA,927,1067,1539,2466,1,TA,5,NA,Detchd,1995,Unf,2,576,124500-146800
NAmes,5,1968,1968,TA,CBlock,TA,1056,1056,1056,2112,1,TA,6,Fa,Attchd,1968,Unf,1,304,124500-146800
Sawyer,6,1961,1996,TA,CBlock,TA,912,912,912,1824,1,Gd,5,NA,Detchd,1962,Unf,1,288,124500-146800
NAmes,5,1959,1959,TA,CBlock,TA,1188,1188,1188,2376,1,TA,6,NA,Attchd,1959,RFn,2,531,124500-146800
NAmes,6,1959,1959,Gd,CBlock,TA,1252,1252,1252,2504,1,Gd,7,NA,Detchd,1960,Unf,2,528,124500-146800
NAmes,5,1950,1996,TA,CBlock,TA,1078,1078,1078,2156,1,Gd,5,NA,Attchd,1950,Unf,1,240,124500-146800
Mitchel,6,1984,1984,TA,CBlock,TA,1003,1003,1003,2006,1,TA,6,NA,Detchd,1984,Unf,2,588,124500-146800
Sawyer,5,1974,1974,TA,CBlock,TA,864,894,894,1758,1,TA,5,Fa,Attchd,1974,Unf,2,440,124500-146800
SawyerW,6,2005,2005,Gd,PConc,Gd,1141,1141,1141,2282,1,TA,6,NA,Detchd,2005,Unf,2,484,124500-146800
NAmes,5,1965,1965,TA,CBlock,TA,1728,1728,1728,3456,2,TA,10,NA,Detchd,1987,Unf,2,576,124500-146800
SawyerW,5,1979,1979,TA,Slab,NA,0,1120,2240,2240,2,TA,12,NA,Detchd,1979,Unf,2,528,124500-146800
Mitchel,5,1993,1995,TA,Wood,Gd,796,796,1362,2158,1,TA,5,NA,Attchd,1993,Unf,2,480,124500-146800
NAmes,5,1967,1967,TA,CBlock,TA,1214,1214,1214,2428,2,TA,5,Fa,Attchd,1967,RFn,1,318,124500-146800
ClearCr,5,1968,2003,TA,CBlock,TA,1437,1473,1473,2910,1,Ex,5,Gd,Attchd,1968,Unf,1,452,124500-146800
SawyerW,6,1980,1980,TA,CBlock,Gd,923,923,923,1846,2,TA,5,TA,Attchd,1980,RFn,1,264,124500-146800
CollgCr,6,2004,2004,Gd,PConc,Gd,848,848,848,1696,1,Gd,3,NA,Attchd,2004,RFn,2,420,124500-146800
Mitchel,5,1967,1967,TA,CBlock,TA,1632,1632,1632,3264,2,TA,8,NA,Attchd,1967,Unf,2,576,124500-146800
NAmes,5,1959,1959,TA,CBlock,TA,1144,1144,1144,2288,1,TA,6,TA,Attchd,1959,RFn,1,796,124500-146800
OldTown,7,1920,1988,TA,PConc,TA,650,832,1482,2132,1,TA,7,NA,Detchd,1930,Unf,2,324,124500-146800
NAmes,6,1949,1950,TA,CBlock,TA,1040,1168,1846,2886,2,TA,7,Gd,Attchd,1949,Unf,1,315,124500-146800
NWAmes,6,1963,1963,TA,CBlock,TA,1328,1328,1328,2656,1,TA,6,Gd,Attchd,1963,Unf,2,528,124500-146800
NAmes,6,1971,1971,TA,CBlock,TA,981,981,981,1962,1,TA,5,NA,Detchd,1979,Unf,2,576,124500-146800
Sawyer,6,1977,1977,TA,CBlock,TA,660,1285,1285,1945,1,TA,7,TA,Attchd,1977,RFn,2,528,124500-146800
CollgCr,5,1977,1989,TA,CBlock,Gd,1268,1268,1268,2536,1,Gd,5,NA,Detchd,1978,Unf,1,252,124500-146800
NPkVill,6,1976,1976,TA,CBlock,Gd,958,958,958,1916,2,TA,5,NA,Attchd,1976,RFn,2,440,124500-146800
Sawyer,5,1962,1962,TA,CBlock,TA,1140,1696,1696,2836,1,TA,8,TA,Attchd,1962,RFn,1,349,124500-146800
Sawyer,5,1962,1962,TA,CBlock,TA,912,912,912,1824,1,TA,4,NA,Detchd,1962,Unf,1,352,124500-146800
SawyerW,5,1983,1983,TA,CBlock,Gd,840,884,884,1724,1,Gd,5,NA,Attchd,1983,RFn,2,504,124500-146800
OldTown,6,1980,1980,TA,CBlock,TA,1056,1056,1056,2112,0,TA,4,NA,Detchd,1980,Unf,2,576,124500-146800
SawyerW,5,1977,1977,TA,Slab,NA,0,2020,2020,2020,2,TA,10,TA,Detchd,1977,Unf,2,630,124500-146800
CollgCr,5,1995,2006,TA,PConc,Gd,1099,1099,1099,2198,1,Gd,6,NA,Attchd,1999,Unf,1,352,124500-146800
BrkSide,5,1920,1950,TA,BrkTil,TA,915,1167,1167,2082,1,TA,6,Gd,Detchd,1972,Unf,2,495,124500-146800
OldTown,7,1916,1950,TA,BrkTil,TA,815,815,1690,2505,1,TA,7,Gd,Detchd,1916,Unf,1,225,124500-146800
NAmes,5,1958,1958,TA,CBlock,TA,874,874,1524,2398,1,TA,7,NA,Attchd,1958,Unf,1,315,124500-146800
CollgCr,6,2003,2004,Gd,PConc,Gd,848,848,848,1696,1,Gd,4,NA,Attchd,2003,Fin,2,420,124500-146800
NAmes,5,1958,1983,TA,CBlock,TA,1024,1344,1344,2368,1,TA,6,TA,Detchd,1970,Unf,1,484,124500-146800
Somerst,7,2005,2005,Gd,PConc,Gd,600,520,1200,1800,2,Gd,4,NA,Detchd,2005,RFn,2,480,124500-146800
CollgCr,6,2004,2004,Gd,PConc,Gd,848,848,848,1696,1,Gd,4,Gd,Attchd,2004,Fin,2,420,124500-146800
Edwards,5,1957,2002,TA,CBlock,TA,1216,1526,1526,2742,1,TA,7,Gd,Basment,1957,Unf,1,364,124500-146800
NAmes,5,1954,2003,TA,CBlock,TA,1086,1086,1086,2172,1,TA,6,NA,Attchd,1989,Unf,2,490,124500-146800
CollgCr,5,1994,1995,TA,PConc,Gd,1097,1097,1097,2194,1,TA,6,NA,Attchd,1995,Unf,2,672,124500-146800
NAmes,6,1964,1964,TA,CBlock,Gd,1092,1092,1092,2184,1,TA,6,NA,Attchd,1964,RFn,2,504,124500-146800
NAmes,5,1957,1957,TA,CBlock,TA,1314,1314,1314,2628,1,TA,5,NA,Attchd,1957,RFn,1,294,124500-146800
BrkSide,5,1940,1982,TA,CBlock,TA,883,988,1505,2388,1,TA,8,NA,Detchd,1940,Unf,1,240,124500-146800
Gilbert,5,1955,1955,TA,CBlock,TA,1056,1056,1056,2112,1,TA,5,NA,Attchd,1955,Fin,2,572,124500-146800
SWISU,7,1928,1950,TA,BrkTil,TA,861,877,1477,2338,2,TA,6,Gd,Detchd,1928,Unf,1,216,124500-146800
NAmes,5,1959,2005,TA,CBlock,TA,1626,1712,1712,3338,2,TA,8,NA,Attchd,2005,Fin,2,588,124500-146800
Crawfor,5,1949,1950,TA,CBlock,TA,1001,1001,2002,3003,2,TA,8,NA,2Types,1949,Unf,3,871,124500-146800
Crawfor,6,1946,1950,TA,CBlock,Gd,979,979,1958,2937,2,TA,8,NA,Attchd,1946,Unf,2,492,124500-146800
CollgCr,5,1994,1995,TA,PConc,Gd,990,990,990,1980,1,TA,5,NA,Detchd,1996,Unf,2,672,124500-146800
NWAmes,6,1971,2004,Gd,CBlock,TA,1258,1258,1258,2516,2,Gd,5,NA,Attchd,1971,RFn,2,528,124500-146800
Sawyer,4,1965,2001,TA,CBlock,TA,648,960,960,1608,0,TA,3,NA,Attchd,1965,Unf,1,364,124500-146800
NAmes,6,1958,1958,TA,CBlock,TA,588,1138,1138,1726,1,TA,6,NA,Attchd,1958,RFn,1,264,124500-146800
Edwards,5,2005,2005,TA,PConc,Gd,547,1072,1072,1619,1,TA,5,NA,Basment,2005,Fin,2,525,124500-146800
NAmes,6,1960,1960,TA,CBlock,TA,1383,1383,1383,2766,1,TA,7,NA,Attchd,1960,RFn,1,292,124500-146800
NAmes,5,1959,2006,Gd,CBlock,TA,1053,1053,1053,2106,1,Gd,5,NA,Attchd,1959,RFn,1,312,124500-146800
Edwards,5,1900,2003,TA,CBlock,TA,1272,1272,2200,3472,2,TA,9,NA,NA,?,NA,0,0,124500-146800
Somerst,7,2007,2007,Gd,PConc,Gd,689,703,1392,2081,2,Gd,5,NA,Detchd,2007,Unf,2,540,124500-146800
NAmes,5,1965,1998,TA,CBlock,TA,864,1200,1200,2064,1,Gd,6,NA,Detchd,1977,Unf,2,884,124500-146800
NPkVill,6,1978,1978,TA,CBlock,Gd,855,855,1456,2311,2,TA,7,TA,Attchd,1978,Unf,2,440,124500-146800
NAmes,5,1942,1995,TA,CBlock,TA,728,888,1644,2372,1,Gd,7,Gd,Attchd,1942,Unf,1,312,124500-146800
Mitchel,6,1976,1976,TA,PConc,Gd,1029,1062,1062,2091,1,TA,5,TA,Attchd,1976,RFn,2,539,124500-146800
IDOTRR,5,1920,1997,TA,CBlock,TA,672,672,1344,2016,1,TA,6,NA,Detchd,1964,Unf,1,468,147000-179200
NAmes,5,1950,2007,Gd,CBlock,TA,1113,1113,1113,2226,1,Gd,5,Gd,Attchd,1950,Unf,1,264,147000-179200
NPkVill,6,1974,1974,TA,CBlock,TA,855,855,1322,2177,2,TA,6,Fa,Attchd,1974,Unf,2,440,147000-179200
Mitchel,5,2007,2007,TA,PConc,Gd,1120,1120,1120,2240,1,TA,6,NA,NA,?,NA,0,0,147000-179200
CollgCr,6,1978,1978,TA,CBlock,Gd,940,1026,1026,1966,1,TA,5,NA,Detchd,1981,Unf,2,576,147000-179200
SawyerW,6,1992,1992,TA,PConc,Gd,936,996,996,1932,1,Gd,5,NA,Attchd,1992,Unf,2,564,147000-179200
NAmes,5,1965,2008,TA,CBlock,TA,912,912,912,1824,1,Gd,5,NA,Detchd,1992,Unf,2,576,147000-179200
OldTown,5,1948,2005,TA,CBlock,TA,924,1122,1122,2046,1,Gd,6,NA,Attchd,1948,Unf,2,528,147000-179200
Somerst,8,2006,2007,Gd,PConc,Ex,1795,1795,1795,3590,2,Gd,7,Gd,Attchd,2007,RFn,3,895,147000-179200
Somerst,7,2005,2005,Gd,PConc,Gd,600,520,1223,1823,2,Gd,4,NA,Detchd,2005,RFn,2,480,147000-179200
Edwards,5,1965,1965,Gd,CBlock,TA,1256,1256,1256,2512,1,TA,6,NA,Attchd,1965,Fin,1,276,147000-179200
NAmes,6,1959,1959,TA,CBlock,TA,1194,1194,1194,2388,1,TA,6,NA,Attchd,1959,RFn,1,312,147000-179200
Edwards,6,1976,1976,TA,CBlock,TA,1143,1113,1113,2256,1,TA,6,Fa,Attchd,1987,RFn,1,504,147000-179200
CollgCr,5,1996,1996,Gd,PConc,Gd,870,914,914,1784,1,TA,5,NA,Detchd,1998,Unf,2,576,147000-179200
Edwards,6,2005,2005,TA,PConc,Gd,547,1072,1072,1619,1,TA,5,NA,Basment,2005,RFn,2,525,147000-179200
NWAmes,6,1978,1978,TA,CBlock,Gd,1032,1032,1032,2064,2,TA,6,TA,Attchd,1978,Unf,2,564,147000-179200
Sawyer,5,1961,1995,TA,CBlock,TA,1109,1155,1155,2264,1,Gd,6,NA,Detchd,1987,Unf,2,576,147000-179200
Sawyer,4,1963,1979,TA,CBlock,TA,1051,1382,1382,2433,1,TA,6,Po,Attchd,1974,Unf,2,459,147000-179200
NPkVill,6,1976,1976,TA,CBlock,Gd,855,855,1456,2311,2,TA,7,TA,Attchd,1976,Unf,2,440,147000-179200
NPkVill,6,1978,1978,TA,CBlock,TA,855,855,1441,2296,2,TA,7,TA,Attchd,1978,Unf,2,440,147000-179200
NAmes,5,1970,1970,TA,CBlock,TA,1002,1002,1002,2004,1,TA,5,NA,Detchd,1973,Unf,2,902,147000-179200
Somerst,7,2004,2004,Gd,PConc,Gd,551,551,1102,1653,2,Gd,4,NA,Detchd,2004,Unf,2,480,147000-179200
NAmes,6,1970,1970,TA,CBlock,TA,1004,1004,1004,2008,1,TA,5,TA,Attchd,1970,Fin,2,480,147000-179200
CollgCr,6,2004,2004,Gd,PConc,Gd,848,848,848,1696,1,Gd,3,Gd,Attchd,2004,RFn,2,420,147000-179200
Crawfor,7,1931,2000,TA,BrkTil,Gd,776,851,1502,2278,1,TA,6,Gd,Attchd,1931,RFn,1,270,147000-179200
BrkSide,5,1928,1950,TA,BrkTil,TA,1042,1042,1576,2618,1,TA,8,Gd,Detchd,1928,Unf,1,225,147000-179200
CollgCr,6,2004,2004,Gd,PConc,Gd,848,848,848,1696,1,Gd,3,TA,Attchd,2004,RFn,2,420,147000-179200
Sawyer,5,1966,2006,TA,CBlock,TA,1228,1228,1228,2456,1,Gd,6,NA,Attchd,1966,Unf,1,271,147000-179200
Sawyer,6,1978,1978,TA,CBlock,TA,672,672,1400,2072,1,TA,6,TA,Attchd,1978,Fin,2,440,147000-179200
NAmes,6,1953,1953,TA,CBlock,TA,1505,1505,1505,3010,1,TA,6,TA,Attchd,1953,RFn,2,505,147000-179200
OldTown,6,1957,1996,TA,CBlock,TA,912,1236,1236,2148,1,TA,6,NA,Attchd,1957,Unf,2,923,147000-179200
CollgCr,5,1972,1972,TA,PConc,TA,894,894,894,1788,1,TA,5,NA,Attchd,1975,Unf,2,552,147000-179200
CollgCr,5,1977,1977,Gd,CBlock,Gd,985,985,985,1970,2,TA,6,NA,Attchd,1977,Unf,1,328,147000-179200
Edwards,5,1959,1959,TA,CBlock,TA,1466,1466,1466,2932,1,Fa,6,Gd,Attchd,1959,Fin,2,528,147000-179200
NAmes,5,1971,2008,TA,CBlock,TA,1078,1078,1078,2156,1,TA,6,Fa,Attchd,1971,Fin,2,500,147000-179200
NAmes,5,1958,1991,TA,CBlock,TA,1008,1053,1053,2061,1,Ex,6,NA,2Types,1998,RFn,2,750,147000-179200
Sawyer,4,1976,1993,TA,CBlock,TA,1281,1620,1620,2901,2,TA,8,TA,Attchd,1993,Unf,2,490,147000-179200
